기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
BGF리테일,78168.1,2353.9,1806.2,30413.75,10074.5,173.0,6499.4,3371.05,3.0045,2.3024999999999998,19.163999999999998,6.184500000000001,204.4665,10452.15,13.842000000000002,58318.9,2.536,17283906.0
BNK금융지주,82983.75,9329.1,7427.55,1402323.1,106667.95,16297.0,1059.2,194600.65,12.116,9.523,7.2459999999999996,0.5505,1212.414,2177.75,3.688,31087.35,0.2545,323323988.3
CJ,399896.75,21261.65,4553.45,459940.3,173529.85,1790.0,43187.5,182317.25,5.2905,1.1735,3.285,1.0215,164.8735,4743.3,23.256,157376.1,0.583,29176998.0
CJ대한통운,117828.2,4457.35,2185.8,95146.65,40917.65,1141.0,6244.35,33233.1,3.7704999999999997,1.844,5.186999999999999,2.3095,132.553,8222.5,18.852,183922.25,0.612,22812344.0
CJ제일제당,284474.55,14863.6,6214.55,290387.75,115612.75,819.0,20663.9,110318.45,5.2364999999999995,2.2195,6.794499999999999,2.21,151.24900000000002,25676.2,16.4685,433280.45,0.7875,15054186.0
DB손해보험,204203.75,20699.1,15858.45,622071.5,94775.1,354.0,31318.45,11642.7,10.196000000000002,7.809,16.886,2.5909999999999997,589.9309999999999,22352.25,3.7064999999999997,156354.75,0.501,70800000.0
DL,44842.4,2592.05,1843.9,118085.85,44688.75,1466.8,4757.0,49921.4,6.0435,8.574000000000002,4.744999999999999,1.584,168.8315,6819.8,4.966816762809637,163513.1,0.372,22340295.6
DL이앤씨,79304.55555555556,4521.555555555556,3344.4444444444443,92777.11111111111,47321.944444444445,2016.3333333333333,2573.9444444444443,12041.166666666666,5.800000000000001,4.29111111111111,7.246333340745518,3.7194363745015346,95.98833333333333,7397.166666666667,5.805555555555555,110201.44444444444,0.3516666666666667,38693623.0
F&F,17650.944444444445,4739.388888888889,3727.3333333333335,18579.222222222223,11916.111111111111,38.0,3960.8333333333335,2955.0555555555557,27.057777777777776,21.116111111111113,39.46962076893075,22.690856645911893,62.68222222222222,10256.222222222223,10.499444444444444,30979.666666666668,4.725555555555555,38307075.0
GKL,3017.3,-92.9,-70.85,6171.45,4096.65,309.0,187.65,720.9,-25.4695,-19.928,-1.1320000000000008,-0.9975000000000012,50.735,-114.8,-1.9992885359718997,6623.35,2.1445,61855670.0
