기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
아이앤씨(2020/12),229.0,-56.0,-56.0,-60.0,-60.0,-61.0,1.0,630.0,153.0,477.0,474.0,3.0,88.0,-30.0,42.0,-15.0,2.0,-33.0,111.0,-24.48,-26.43,-11.95,-8.93,32.01,472.8,-347.0,,2767.0,1.55,0.0,0.0,0.0,17694054.0
아이앤씨(2021/12),299.0,-35.0,-35.0,-54.0,-54.0,-55.0,0.0,649.0,220.0,430.0,427.0,3.0,89.0,-38.0,-14.0,52.0,3.0,-41.0,150.0,-11.6,-18.17,-12.14,-8.51,51.08,417.01,-307.0,,2465.0,1.61,,,0.0,17862854.0
아이앤씨(2022/12),394.0,24.0,24.0,10.0,10.0,10.0,1.0,654.0,211.0,443.0,439.0,4.0,89.0,-22.0,33.0,-4.0,2.0,-24.0,140.0,6.22,2.61,2.23,1.58,47.55,430.95,54.0,46.27,2537.0,0.98,,,0.0,17862854.0
아이앤씨(2023/12),643.0,14.0,14.0,1.0,0.0,-3.0,3.0,673.0,227.0,445.0,438.0,7.0,89.0,56.0,-28.0,30.0,7.0,50.0,155.0,2.23,0.07,-0.68,0.07,51.11,427.91,-17.0,,2529.0,1.09,,,0.0,17862854.0
아이앤씨(2024/12),234.0,-107.0,-107.0,-120.0,-120.0,-119.0,-1.0,513.0,208.0,305.0,298.0,7.0,89.0,11.0,0.0,-30.0,3.0,8.0,154.0,-45.67,-51.3,-32.45,-20.23,68.27,297.66,-668.0,,1836.0,0.98,,,,17862854.0
아이앤씨(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이앤씨(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이앤씨(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다원넥스뷰(2020/12),40.0,-11.0,-11.0,-28.0,-28.0,-28.0,,93.0,70.0,23.0,23.0,,6.0,31.0,-23.0,8.0,23.0,8.0,28.0,-27.38,-69.16,-75.33,-31.1,303.14,265.01,-441.0,,365.0,10.54,0.0,0.0,0.0,3650000.0
다원넥스뷰(2021/12),126.0,5.0,5.0,5.0,5.0,5.0,,87.0,58.0,28.0,28.0,,6.0,9.0,-5.0,-6.0,4.0,5.0,21.0,4.23,4.03,19.78,5.64,207.53,345.22,80.0,199.21,446.0,35.82,0.0,0.0,0.0,4587500.0
다원넥스뷰(2022/12),110.0,8.0,8.0,98.0,99.0,99.0,,106.0,251.0,-145.0,-145.0,,5.0,-3.0,-2.0,2.0,3.0,-6.0,52.0,7.03,90.31,-169.71,103.17,-172.91,-3323.36,1572.0,6.87,-2299.0,,0.0,0.0,0.0,4587500.0
다원넥스뷰(2023/12),107.0,-6.0,-6.0,1.0,1.0,1.0,,169.0,131.0,38.0,38.0,,6.0,31.0,-10.0,-2.0,10.0,21.0,26.0,-6.02,0.83,-1.65,0.65,346.41,456.04,14.0,712.1,599.0,16.68,0.0,0.0,0.0,6312500.0
다원넥스뷰(2024/12),187.0,13.0,13.0,-42.0,-41.0,-41.0,,280.0,127.0,153.0,153.0,,8.0,12.0,95.0,15.0,3.0,9.0,42.0,6.84,-22.15,-43.38,-18.45,82.94,1706.8,-581.0,,1913.0,2.61,,,,8010772.0
다원넥스뷰(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다원넥스뷰(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다원넥스뷰(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이알엠(2020/12),89.0,1.0,1.0,-11.0,-11.0,-11.0,,312.0,66.0,246.0,246.0,,63.0,-5.0,63.0,-5.0,1.0,-6.0,50.0,1.6,-12.88,-4.99,-3.54,26.68,284.67,-101.0,,1956.0,1.74,0.0,0.0,0.0,12600336.0
케이알엠(2021/12),114.0,7.0,7.0,28.0,28.0,28.0,,722.0,250.0,472.0,472.0,,91.0,9.0,-174.0,364.0,2.0,6.0,227.0,6.5,24.57,7.78,5.4,53.0,412.62,196.0,23.18,2584.0,1.76,0.0,0.0,0.0,18248289.0
케이알엠(2022/12),129.0,2.0,2.0,-91.0,-91.0,-91.0,,628.0,163.0,465.0,465.0,,97.0,-21.0,17.0,-62.0,2.0,-23.0,127.0,1.43,-70.67,-19.44,-13.49,35.04,378.9,-496.0,,2402.0,1.97,0.0,0.0,0.0,19347639.0
케이알엠(2023/12),124.0,-220.0,-220.0,-320.0,-298.0,-298.0,,2106.0,1271.0,835.0,835.0,,146.0,-112.0,-78.0,1105.0,178.0,-290.0,1071.0,-177.53,-239.75,,,152.24,462.13,-1083.0,,2858.0,3.09,0.0,0.0,0.0,29213382.0
