Date,136660,219130,031980,036930,092070,241790,045300,089970,319660,064520,054620,096610,149010,222160,272110,122640,101400,011930,087600,054940,030530,183300,227950,241770,102710,083310,003160,005935,079370,059090,082270,005930,029460,140070,061970,084370,067310,264660,142210,101160,217500,086390,094170,114810,131970,102120,080220,052900,195870,160980,064760,058470,232140,033160,083450,093520,053610,166090,101490,240810,033640,005290,071280,098120,080520,032580,000660,036540,036200,171010,117670,054450,089890,042700,147760,200710,089790,144960,094360,253590,077500,306620,097800,036810,077360,006200,041520,066310,039440,217190,105330,093640,170920,095610,200470,025560,232680,000990,078350,131290,119830,074600,095340,039030,089030,080580,064290,092220,323350,059120,281820,052860,024850,033170,092870,317330,303030
2020-01-02,3035,5600,8630,8160,10100,10400,3826,7560,11725,7000,10400,5530,4270,2000,11600,14100,1995,954,4095,1750,5570,27150,1945,16000,28200,9790,3575,45600,4633,5800,40450,55200,18500,2390,8080,16550,3773,8809,5519,8280,1975,14200,6219,3386,25963,7210,4325,1300,16250,11000,64200,62100,3405,7810,5337,3855,16700,18450,12750,35600,24850,16400,5590,4605,4930,1615,94700,4325,5450,7710,6970,11350,8960,3980,5240,18526,5420,4410,3763,1360,3350,2045,1658,7910,3835,726,5180,13650,20750,3070,3626,4705,12850,24850,4157,4165,4100,27900,5980,13800,7110,15300,10150,100300,6911,1865,4950,986,16000,5146,23050,5290,1120,1155,6632,19250,2900
2020-01-03,3260,5580,8340,7930,10250,10350,3762,7740,11450,7000,10400,5650,4235,2200,11450,13500,2020,956,4145,1795,5640,27500,1955,15600,27700,9690,3495,45650,4650,5700,39200,55500,18550,2425,8190,16550,3739,8711,5431,8060,1985,14450,6319,3418,26819,7160,4365,1270,16100,10900,62500,62500,3780,7810,5387,3795,16700,18250,14000,34800,26700,16300,5500,4470,4935,1670,94500,4300,5450,8130,7210,11050,8990,3985,5180,18618,5600,4735,3743,1375,3310,2050,1650,8009,3865,733,5230,13900,21350,3050,3626,4975,12750,25050,4056,4076,4100,27600,5980,14200,7500,14950,10100,100900,6962,1958,4815,986,16000,5307,23050,5210,1085,1150,7077,18800,2850
2020-01-06,3145,5540,8320,7920,10000,10150,3735,7700,11775,7000,10200,5750,4235,1950,11300,13550,1950,934,4020,1745,5570,27300,2020,15400,27800,9500,3400,45700,4616,5600,37900,55500,18500,2440,8000,16650,3773,8593,5431,8060,1935,14450,6085,3581,28127,7120,4350,1255,17750,10900,62100,62200,3910,7550,5312,3675,16400,18150,14100,34800,26800,15900,5540,4605,4785,1665,94300,4345,5390,8240,6970,10900,9220,3920,5050,19168,5400,4665,3867,1340,3305,2060,1630,8297,4005,722,5040,13950,20600,2970,3606,4795,12400,25000,3900,3927,4080,28000,5850,15750,7230,14950,9920,102500,6937,1940,4750,949,16000,5563,23450,5180,1090,1140,7664,18500,2760
2020-01-07,3195,5510,8170,7910,10100,10100,3762,7730,11625,7000,9920,5740,4190,2200,11150,13100,1995,945,4145,1790,5480,27600,1900,15400,27250,9590,3445,46300,4766,5550,37500,55800,18150,2460,7840,16550,3861,8573,5295,7940,1990,13950,6152,3460,27423,7120,4515,1305,17800,10900,61100,63100,3945,7710,5337,3740,16300,18250,13850,34950,25750,15900,5370,4525,4810,1680,94000,4285,5300,8030,7040,10950,8990,3925,5000,19168,5420,4560,3743,1350,3315,2040,1603,7990,3970,721,5120,13750,21450,2960,3643,4590,12700,25500,3995,3987,4000,28000,5830,15150,7620,15050,10050,104200,6785,1925,4830,963,16000,5765,22500,5000,1105,1160,7683,18150,2750
2020-01-08,3100,5310,8250,7640,10200,10000,3803,7740,12000,7000,9780,5470,4190,2000,10400,12600,1910,923,3970,1655,5490,27850,1855,14700,27300,9450,3300,46700,4600,5270,34950,56800,18100,2355,7940,16650,3992,8397,4967,8000,1890,13700,6135,3318,27171,7430,4320,1215,17750,10750,61500,64300,3945,7620,5111,3750,15450,18550,14000,35100,24300,15600,5220,4305,4600,1575,97400,4180,5400,7530,6680,10500,8890,3925,4810,17884,5390,4305,3586,1260,3185,2035,1571,8109,3880,714,4890,13350,20850,2815,3622,4435,12500,25450,3900,3808,4100,28950,5730,15000,7400,15800,9640,103500,6911,1843,4560,926,16000,5644,22600,4660,1010,1105,7693,17150,2550
2020-01-09,3100,5540,8970,8230,10850,10700,3999,8150,12350,7000,10300,5660,4800,1900,10800,12800,1960,967,4090,1750,5810,29000,1795,15400,29150,9920,3430,48400,4800,5530,40250,58600,18700,2485,8190,17800,4184,9006,5127,8450,1965,15050,6345,3523,28630,7640,4450,1290,18200,11850,66000,65300,4000,7870,5437,3810,16200,19450,16300,35900,25000,16700,5380,4335,4800,1630,99000,4490,5800,7830,6830,11100,9180,4175,5110,19535,5440,4460,3774,1320,3345,2030,1713,9268,4000,724,5050,14550,21100,2930,3581,4665,13250,25750,4313,3927,4145,29050,5950,16100,7410,16300,10800,107400,7671,1910,4800,967,16000,5812,23800,4865,1055,1185,8205,18200,2630
2020-01-10,3000,5700,9200,8130,10600,10850,4003,8420,12275,7000,10750,5720,4965,2000,10800,12850,1990,995,4005,1760,5830,28550,1730,15800,29250,9950,3490,48550,4883,5700,40950,59500,18250,2470,8060,17200,4177,9075,5151,8520,1975,14750,6579,3807,27926,7590,4440,1360,18450,11800,64400,65200,4095,7880,5412,3810,16150,19100,15150,35700,24500,16850,5300,4465,4825,1660,98900,4400,5830,7880,7000,11400,9110,4320,5240,20452,5510,4390,3820,1350,3380,2040,1690,8723,3940,723,5060,14250,20350,3020,3626,4975,13250,25300,4266,3927,4350,28150,5860,15700,7370,15950,10950,108400,7620,1898,4940,981,16000,5724,23050,4830,1010,1185,8224,17900,2680
2020-01-13,3045,5790,9360,7930,10600,11450,4036,8420,11850,7000,11100,5780,4945,1900,10450,12700,2010,1000,4100,1775,5730,27550,1740,15650,28250,9730,3435,49500,4800,5760,38800,60000,18200,2525,8350,17250,4121,8918,5151,8270,1970,14550,6445,3860,28177,7580,4345,1350,18250,11850,63700,65000,4075,7930,5387,3800,16100,18500,15150,35450,25700,17100,5320,4455,4870,1680,100500,4435,5790,7900,7020,11350,8940,4280,5220,19856,5430,4375,3805,1390,3345,2080,1690,8654,3970,727,5060,14100,20000,3025,3622,5060,12850,25050,4307,3956,4340,28800,5840,15700,6760,16000,11400,106500,7620,1950,4765,986,16000,5704,22800,4965,1055,1180,7958,17450,2750
2020-01-14,3070,5710,9250,7930,10650,11500,4036,8810,11950,7000,11450,5790,5620,1850,10450,12550,2010,991,4050,1795,5790,27450,1800,15850,28200,9760,3425,49750,4850,5680,38750,60000,18100,2525,8420,18000,4354,9006,5070,8190,1955,15350,6487,3897,28982,7700,4420,1335,18250,12100,63000,64800,4620,8040,5487,3875,16300,18300,15500,35850,25700,17300,5350,4665,4870,1660,100500,4500,5800,7920,6960,11150,9010,4340,5240,22654,5520,4485,3747,1340,3385,2090,1666,8624,4015,733,5030,14400,20250,2985,3569,4955,13150,26050,4246,4076,4200,30150,5850,15350,6740,15750,10800,107300,7645,2025,4875,995,16000,5603,22750,5040,1045,1180,8147,17550,2730
2020-01-15,3140,5700,9130,7950,10600,11500,4008,8840,11875,7000,11100,5770,4780,2100,10550,12950,2015,999,4050,1840,5750,27650,1850,15500,28000,9820,3455,49250,4966,5740,37400,59000,17750,2555,8440,18150,4423,8996,5039,8200,1990,15400,6319,3739,28580,7590,4380,1340,18200,11950,62600,65300,4570,8070,5237,3975,16400,18150,14850,36250,25150,17800,5410,4585,4870,1665,98200,4495,5800,7890,7130,11050,9060,4220,5070,24167,5550,4580,3720,1370,3395,2080,1666,8416,3895,725,5060,14500,20350,2950,3622,4830,12900,26250,4286,4046,4150,28800,5830,14500,6740,15700,11000,109300,7721,2045,4865,1005,16000,5684,22350,5150,1085,1215,8176,17700,2875
2020-01-16,3150,5800,9600,8030,10750,12000,3967,9050,13175,7000,11350,5810,4500,2000,10450,13400,1985,996,4125,1790,5850,29700,2075,15500,28400,10200,3475,50400,5033,5900,37250,60700,18000,2610,8500,18850,4464,9340,5007,8250,2095,15650,6437,3871,29586,7850,4320,1315,18200,12950,64900,68700,4625,8160,5738,3925,16450,18500,15200,37900,26450,18600,5670,4715,4850,1725,99200,4605,6350,7810,7220,11150,9850,4480,5430,25634,6290,4700,3786,1395,3460,2090,1705,9130,3975,725,5060,15000,20750,2995,3606,4815,13300,27100,4612,4016,4750,29100,5740,14700,7400,16300,12550,112500,8354,2045,4865,1005,16000,5792,23500,5190,1095,1170,8337,18550,3030
2020-01-17,3065,5970,9700,8190,10800,12400,3944,9110,13450,7000,11550,5730,4395,2200,10550,13400,1990,996,4150,1795,5850,29550,2125,16350,30150,10800,3530,50900,5083,5920,39350,61300,18350,2655,8690,18750,4450,9773,5095,8350,2085,15900,6327,3807,29888,7790,4295,1330,18150,13250,66400,68600,4560,8180,5863,3915,17100,20200,15450,37500,25850,18800,5770,5190,4900,1715,99000,4685,6560,7970,7070,11100,10150,4565,5780,25222,6740,4705,3732,1380,3500,2170,1753,8981,3975,721,5120,15050,20500,2995,3630,5100,13650,27450,4754,4046,4730,28450,5660,16150,8230,16350,13400,114800,8607,2158,5100,995,16000,5832,23700,5230,1145,1160,8319,18100,3245
2020-01-20,3060,5990,9570,8040,10800,12450,4008,9410,13475,7000,11600,5750,3740,1995,11350,12800,1955,994,4020,1755,5790,29800,1950,16450,29900,10650,3470,52200,5000,5680,38350,62400,18000,2720,8620,18900,4608,9881,4926,8790,2060,16550,6227,3797,30744,7850,4340,1345,18150,13200,64800,69000,4475,8190,6590,3920,17400,19650,16050,37450,26450,18800,5760,5150,4895,1635,99900,5390,6520,7800,7150,11150,9640,4520,5700,25222,7230,5070,3924,1390,3400,2330,1690,8971,3865,721,5090,14800,20800,3210,3585,4150,13550,27700,4598,3956,5200,29000,5700,16050,8630,16500,12950,114600,8911,2095,5300,986,16000,5805,23100,5240,1115,1165,8735,18500,3310
2020-01-21,3140,6400,9360,7770,10450,12300,3872,9220,12975,7000,11550,5680,3740,2000,11200,12800,1900,979,3975,1725,5700,29600,1885,15800,29450,10350,3465,51000,4850,5430,36350,61400,18300,2760,8370,18400,4608,9557,4870,8580,2060,16200,6429,3702,31196,7720,4200,1310,18750,13300,63400,71800,4260,8100,7291,3870,17300,19400,15350,36950,25900,18600,6000,4950,5030,1610,99300,5490,6470,7650,7000,11150,9700,4510,5570,25680,7700,5110,3867,1405,3335,2285,1690,8753,4080,722,5050,14650,20750,3080,3479,3965,13450,26750,4469,3927,4425,29100,5690,15650,8840,16050,13100,113900,8658,2015,5330,986,16000,5664,22500,5270,1080,1130,8451,17950,3165
2020-01-22,3150,6640,9410,7830,10950,12400,3862,9440,13550,7000,11800,5710,4085,2100,11050,13300,1940,976,3970,1745,5790,30000,2075,15900,29900,10450,3555,51100,4916,5600,36900,62300,18450,2760,8470,18600,4662,9783,4886,8840,2050,16750,6453,3781,32807,8100,4115,1360,18750,13750,65100,75300,4605,8180,7592,3885,17300,19500,16750,38150,26650,19700,6480,5150,5150,1640,101000,5610,6740,7720,7000,11400,9970,4755,5680,28432,7810,5120,4078,1405,3500,2325,1737,9219,4170,721,5060,15250,22100,3165,3516,4000,13600,27100,4734,3897,4550,31300,5810,16500,8330,16650,13050,116000,8810,2060,5340,1000,16000,5832,22650,5690,1070,1150,8982,18400,3335
