,단축코드,GICS Sector,한글 종목약명,영문 종목명
0,090430,Consumer Staples,아모레퍼시픽,AMOREPACIFIC CORPORATION
1,002790,Consumer Staples,아모레퍼시픽홀딩스,AMOREPACIFIC Holdings
2,278470,Consumer Staples,에이피알,APR
3,282330,Consumer Staples,BGF리테일,BGF Retail
4,138930,Financials,BNK금융지주,BNK Financial Group Inc.
5,068270,Health Care,셀트리온,Celltrion
6,030000,Communication Services,제일기획,CheilWorldwide
7,185750,Health Care,종근당,CHONGKUNDANG
8,001040,Consumer Staples,CJ,CJ Corp.
9,097950,Consumer Staples,CJ제일제당,CJ CheilJedang Corp
10,000120,Industrials,CJ대한통운,CJ LOGISTICS
11,192820,Consumer Staples,코스맥스,"COSMAX, INC."
12,005070,IT,코스모신소재,CosmoAM&T
13,005420,Energy & Chemicals,코스모화학,COSMOCHEMICALCO
14,021240,Consumer Discretionary,코웨이,COWAY
15,112610,Heavy Industries,씨에스윈드,CS Wind Corporation
16,001680,Consumer Staples,대상,Daesang
17,047040,Constructions,대우건설,DaewooEngineering&Construction
18,003090,Health Care,대웅,Daewoong
19,069620,Health Care,대웅제약,DAEWOONGPHARMACEUTICAL
20,005830,Financials,DB손해보험,DB INSURANCE
21,145720,Health Care,덴티움,DENTIUM
22,139130,Financials,iM금융지주,iM Financial Group
23,000210,Energy & Chemicals,DL,DL
24,375500,Constructions,DL이앤씨,"DL E&C CO., LTD."
25,026960,Consumer Staples,동서,DONGSUH
26,014820,Steels & Materials,동원시스템즈,Dongwon Systems Corporation
27,000150,Heavy Industries,두산,DOOSAN
28,241560,Heavy Industries,두산밥캣,Doosan Bobcat
29,034020,Heavy Industries,두산에너빌리티,DOOSAN ENERBILITY
30,336260,Industrials,두산퓨얼셀,Doosan Fuel Cell
31,454910,Heavy Industries,두산로보틱스,Doosan Robotics
32,192080,Consumer Discretionary,더블유게임즈,DoubleUGames
33,450080,Industrials,에코프로머티,ECOPRO MATERIALS
34,139480,Consumer Staples,이마트,"E-MART Co., Ltd."
35,383220,Consumer Discretionary,F&F,F&F
36,081660,Consumer Discretionary,미스토홀딩스,Misto Holdings Corporation
37,093370,Energy & Chemicals,후성,"FOOSUNG CO.,LTD"
38,114090,Consumer Discretionary,GKL,Grand Korea Leisure
39,006280,Health Care,녹십자,Green Cross Corporation
40,005250,Health Care,녹십자홀딩스,Green Cross Holdings Corporation
41,078930,Energy & Chemicals,GS,GS Holdings
42,006360,Constructions,GS건설,GS Engineering & Construction Corp
43,007070,Consumer Staples,GS리테일,GS Retail
44,086790,Financials,하나금융지주,HanaFinancialGroupInc.
45,039130,Consumer Discretionary,하나투어,HANATOUR SERVICE
46,009420,Health Care,한올바이오파마,"HANALL BIOPHARMA CO.,LTD"
47,300720,Constructions,한일시멘트,HANILCEMENT
48,180640,Consumer Discretionary,한진칼,HANJINKAL
49,161390,Consumer Discretionary,한국타이어앤테크놀로지,HANKOOK TIRE & TECHNOLOGY
