,기업명,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
0,아이앤씨(2020/12),229.0,-56.0,-60.0,630.0,477.0,88.0,-30.0,-33.0,111.0,-24.48,-26.43,-11.95,-8.93,32.01,-347.0,-12.39193083573487,2767.0,1.55,17694054.0
1,아이앤씨(2021/12),299.0,-35.0,-54.0,649.0,430.0,89.0,-38.0,-41.0,150.0,-11.6,-18.17,-12.14,-8.51,51.08,-307.0,-12.931596091205211,2465.0,1.61,17862854.0
2,아이앤씨(2022/12),394.0,24.0,10.0,654.0,443.0,89.0,-22.0,-24.0,140.0,6.22,2.61,2.23,1.58,47.55,54.0,46.27,2537.0,0.98,17862854.0
3,아이앤씨(2023/12),643.0,14.0,0.0,673.0,445.0,89.0,56.0,50.0,155.0,2.23,0.07,-0.68,0.07,51.11,-17.0,-161.47058823529412,2529.0,1.09,17862854.0
4,아이앤씨(2024/12),234.0,-107.0,-120.0,513.0,305.0,89.0,11.0,8.0,154.0,-45.67,-51.3,-32.45,-20.23,68.27,-668.0,-2.69311377245509,1836.0,0.98,17862854.0
8,다원넥스뷰(2020/12),40.0,-11.0,-28.0,93.0,23.0,6.0,31.0,8.0,28.0,-27.38,-69.16,-75.33,-31.1,303.14,-441.0,-43.65079365079365,365.0,10.54,3650000.0
9,다원넥스뷰(2021/12),126.0,5.0,5.0,87.0,28.0,6.0,9.0,5.0,21.0,4.23,4.03,19.78,5.64,207.53,80.0,199.21,446.0,35.82,4587500.0
10,다원넥스뷰(2022/12),110.0,8.0,99.0,106.0,-145.0,5.0,-3.0,-6.0,52.0,7.03,90.31,-169.71,103.17,-172.91,1572.0,6.87,-2299.0,-23.4884732492388,4587500.0
11,다원넥스뷰(2023/12),107.0,-6.0,1.0,169.0,38.0,6.0,31.0,21.0,26.0,-6.02,0.83,-1.65,0.65,346.41,14.0,712.1,599.0,16.68,6312500.0
12,다원넥스뷰(2024/12),187.0,13.0,-41.0,280.0,153.0,8.0,12.0,9.0,42.0,6.84,-22.15,-43.38,-18.45,82.94,-581.0,-8.605851979345955,1913.0,2.61,8010772.0
16,케이알엠(2020/12),89.0,1.0,-11.0,312.0,246.0,63.0,-5.0,-6.0,50.0,1.6,-12.88,-4.99,-3.54,26.68,-101.0,-33.71287128712871,1956.0,1.74,12600336.0
17,케이알엠(2021/12),114.0,7.0,28.0,722.0,472.0,91.0,9.0,6.0,227.0,6.5,24.57,7.78,5.4,53.0,196.0,23.18,2584.0,1.76,18248289.0
18,케이알엠(2022/12),129.0,2.0,-91.0,628.0,465.0,97.0,-21.0,-23.0,127.0,1.43,-70.67,-19.44,-13.49,35.04,-496.0,-9.546370967741936,2402.0,1.97,19347639.0
19,케이알엠(2023/12),124.0,-220.0,-298.0,2106.0,835.0,146.0,-112.0,-290.0,1071.0,-177.53,-239.75,-35.688622754491014,-14.150047483380817,152.24,-1083.0,-8.162511542012927,2858.0,3.09,29213382.0
20,케이알엠(2024/12),112.0,-99.0,-259.0,1466.0,817.0,163.0,-49.0,-110.0,585.0,-88.21,-231.08,-31.33,-14.49,79.5,-837.0,-5.232974910394265,2504.0,1.75,32606724.0
32,신성이엔지(2020/12),4824.0,185.0,-137.0,4234.0,1915.0,1008.0,240.0,83.0,1060.0,3.84,-2.84,-8.77,-3.27,121.16,-75.0,-45.86666666666667,961.0,3.58,201433941.0
33,신성이엔지(2021/12),4545.0,24.0,-159.0,4767.0,2080.0,1022.0,-213.0,-409.0,1171.0,0.53,-3.49,-7.97,-3.52,129.12,-78.0,-27.5,1029.0,2.08,204217781.0
34,신성이엔지(2022/12),6641.0,210.0,343.0,5776.0,2112.0,1030.0,-240.0,-378.0,2059.0,3.16,5.16,16.3,6.5,173.5,166.0,9.37,1036.0,1.5,205848151.0
35,신성이엔지(2023/12),5765.0,74.0,153.0,5877.0,2426.0,1030.0,468.0,243.0,1962.0,1.28,2.65,7.14,2.62,142.27,79.0,25.88,1195.0,1.71,205848151.0
36,신성이엔지(2024/12),5823.0,50.0,-140.0,6053.0,2375.0,1030.0,28.0,-79.0,2322.0,0.86,-2.4,-5.85,-2.34,154.8,-68.0,-17.220588235294116,1170.0,1.0,205848151.0
40,엔투텍(2020/12),292.0,34.0,-382.0,872.0,544.0,71.0,-67.0,-173.0,109.0,11.56,-130.46,-76.09,-38.9,60.19,-695.0,-6.517985611510792,765.0,2.89,70914180.0
41,엔투텍(2021/12),296.0,14.0,31.0,1196.0,898.0,92.0,79.0,73.0,68.0,4.62,10.43,4.29,2.98,33.19,38.0,38.12,975.0,1.48,91571575.0
42,엔투텍(2022/12),214.0,-19.0,10.0,1092.0,972.0,100.0,-18.0,-25.0,49.0,-9.03,4.6,0.83,0.86,12.33,8.0,87.31,962.0,0.75,100301731.0
43,엔투텍(2023/12),131.0,-33.0,111.0,1203.0,1123.0,104.0,17.0,11.0,6.0,-25.4,85.22,10.34,9.7,7.06,105.0,5.94,1074.0,0.58,103575530.0
44,엔투텍(2024/12),136.0,-35.0,-253.0,936.0,866.0,104.0,-56.0,-63.0,5.0,-25.87,-185.52,-25.86,-23.62,8.13,-247.0,-1.7611336032388665,836.0,0.52,103575530.0
48,HLB이노베이션(2020/12),383.0,-27.0,-38.0,335.0,149.0,200.0,22.0,9.0,82.0,-7.12,-9.93,-22.21,-11.2,124.32,-95.0,-14.894736842105264,373.0,4.32,40016523.0
49,HLB이노베이션(2021/12),507.0,8.0,-8.0,380.0,150.0,203.0,10.0,5.0,139.0,1.67,-1.66,-5.64,-2.36,153.5,-21.0,-60.0,370.0,3.27,40573626.0
50,HLB이노베이션(2022/12),314.0,4.0,140.0,923.0,574.0,333.0,-11.0,-15.0,323.0,1.28,44.42,38.55,21.43,60.71,333.0,8.9,864.0,3.43,66507231.0
51,HLB이노베이션(2023/12),206.0,-9.0,-8.0,922.0,571.0,333.0,18.0,10.0,326.0,-4.56,-3.67,-1.32,-0.82,61.57,-11.0,-283.6363636363636,858.0,3.64,66507231.0
52,HLB이노베이션(2024/12),254.0,-119.0,-124.0,2680.0,2520.0,722.0,-79.0,-276.0,61.0,-46.86,-48.79,-4.920634920634921,-4.626865671641791,6.36,-141.0,-17.80141843971631,1701.0,1.48,144304123.0
56,네온테크(2020/12),391.0,14.0,-48.0,617.0,284.0,37.0,25.0,16.0,202.0,3.65,-12.26,-21.1,-8.49,117.33,-132.0,-21.893939393939394,807.0,3.58,37207622.0
57,네온테크(2021/12),499.0,-29.0,-45.0,738.0,351.0,40.0,-76.0,-90.0,224.0,-5.81,-8.94,-14.05,-6.58,110.32,-115.0,-35.30434782608695,925.0,4.39,39922508.0
58,네온테크(2022/12),529.0,-38.0,-81.0,905.0,451.0,42.0,-14.0,-23.0,200.0,-7.11,-15.23,-20.03,-9.8,100.84,-194.0,-17.216494845360824,1124.0,2.97,41688607.0
59,네온테크(2023/12),868.0,22.0,-34.0,1646.0,552.0,42.0,-56.0,-123.0,450.0,2.5,-3.88,-11.92,-2.63,198.3,-122.0,-20.983606557377048,1012.0,2.53,41713607.0
60,네온테크(2024/12),1045.0,36.0,3.0,1425.0,595.0,43.0,-5.0,-65.0,550.0,3.47,0.25,-3.88,0.17,139.61,-38.0,-71.05263157894737,1050.0,2.57,43088918.0
64,케이엔더블유(2020/12),279.0,-78.0,-99.0,761.0,436.0,51.0,-18.0,-31.0,141.0,-27.99,-35.38,-25.59,-13.78,74.62,-1280.0,-5.0078125,4311.0,1.49,10261347.0
65,케이엔더블유(2021/12),718.0,77.0,10.0,1554.0,579.0,61.0,148.0,57.0,592.0,10.75,1.42,2.01,0.88,168.65,87.0,177.31,4843.0,3.2,12135382.0
66,케이엔더블유(2022/12),996.0,153.0,181.0,1428.0,785.0,61.0,146.0,64.0,445.0,15.35,18.14,26.51,12.12,82.0,1489.0,5.44,6569.0,1.23,12135382.0
67,케이엔더블유(2023/12),954.0,52.0,21.0,1518.0,1251.0,80.0,104.0,32.0,112.0,5.47,2.15,2.02,1.39,21.35,152.0,56.13,7883.0,1.08,16060028.0
68,케이엔더블유(2024/12),785.0,-23.0,34.0,2076.0,1281.0,80.0,63.0,-144.0,534.0,-2.91,4.39,2.72,1.92,62.02,214.0,16.22,8075.0,0.43,16060028.0
88,이엘씨(2020/12),2451.0,178.0,83.0,2607.0,2124.0,61.0,309.0,305.0,40.0,7.25,3.38,3.97,3.33,22.78,680.0,24.28,17425.0,0.95,12188730.0
89,이엘씨(2021/12),1863.0,-51.0,25.0,2541.0,2090.0,61.0,98.0,87.0,89.0,-2.73,1.33,1.18,0.96,21.57,203.0,44.66,17151.0,0.53,12188730.0
90,이엘씨(2022/12),1376.0,-95.0,-58.0,2329.0,1987.0,61.0,-40.0,-45.0,18.0,-6.91,-4.21,-2.84,-2.38,17.2,-475.0,-10.631578947368421,16304.0,0.31,12188730.0
91,이엘씨(2023/12),161.0,-73.0,-78.0,2056.0,1842.0,61.0,111.0,104.0,62.0,-45.33,-48.67,-4.1,-3.58,11.64,-644.0,-11.180124223602485,15744.0,0.46,12188730.0
92,이엘씨(2024/12),292.0,-47.0,-3.0,1897.0,1798.0,61.0,14.0,5.0,3.0,-16.02,-0.91,-0.15,-0.14,5.5,-22.0,-222.95454545454547,15368.0,0.32,12188730.0
104,아이텍(2020/12),456.0,28.0,-52.0,1464.0,788.0,72.0,151.0,107.0,360.0,6.12,-11.52,-8.15,-4.35,85.82,-453.0,-18.984547461368653,5477.0,1.57,14387896.0
105,아이텍(2021/12),647.0,32.0,-81.0,1481.0,1083.0,94.0,84.0,27.0,262.0,4.94,-12.56,-8.33,-5.52,36.75,-494.0,-18.785425101214575,5840.0,1.59,18896166.0
106,아이텍(2022/12),767.0,7.0,217.0,1790.0,1417.0,100.0,112.0,22.0,180.0,0.94,28.26,17.84,13.24,26.32,1141.0,5.86,7113.0,0.94,20073756.0
107,아이텍(2023/12),522.0,-73.0,-105.0,2206.0,1475.0,107.0,-59.0,-164.0,421.0,-13.98,-20.18,-5.21,-5.27,49.61,-350.0,-20.514285714285716,6760.0,1.06,21434297.0
108,아이텍(2024/12),620.0,-49.0,200.0,2296.0,1685.0,107.0,128.0,10.0,363.0,-7.86,32.29,13.63,8.89,36.3,982.0,5.39,7736.0,0.68,21434297.0
120,KX하이텍(2020/12),747.0,73.0,16.0,1003.0,764.0,234.0,7.0,-113.0,53.0,9.83,2.12,2.24,1.81,31.38,33.0,48.59,1655.0,0.98,46885499.0
