Metric,Cluster_ID,Cluster,RandomMean,p-value (one-sided >),significance
Sortino,cluster_0,-0.0512,-0.0342,1.0,
CVaR,cluster_0,-0.032,-0.0296,1.0,
Sharpe,cluster_0,-0.0441,-0.0287,1.0,
Sharpe,cluster_1,-0.0022,-0.0229,0.0,***
Sortino,cluster_1,-0.003,-0.0307,0.0,***
CVaR,cluster_1,-0.0315,-0.0342,0.0,***
CVaR,cluster_6,-0.0403,-0.0336,1.0,
Sortino,cluster_6,0.0197,-0.0298,0.0,***
Sharpe,cluster_6,0.0151,-0.0226,0.0,***
Sharpe,cluster_7,0.0537,-0.0228,0.0,***
CVaR,cluster_7,-0.0343,-0.0323,1.0,
Sortino,cluster_7,0.0824,-0.0292,0.0,***
Sortino,cluster_8,-0.0104,-0.0334,0.0,***
Sharpe,cluster_8,-0.0087,-0.0275,0.0,***
CVaR,cluster_8,-0.0255,-0.0302,0.0,***
Sharpe,cluster_12,-0.0462,-0.0234,1.0,
Sortino,cluster_12,-0.0604,-0.03,1.0,
CVaR,cluster_12,-0.0313,-0.0311,0.8392,
Sortino,cluster_13,-0.1901,-0.0318,1.0,
Sharpe,cluster_13,-0.1359,-0.0236,1.0,
CVaR,cluster_13,-0.0515,-0.0344,1.0,
